,Url
0,/synchrony-proxy/v1/bayeux-sync1
1,/json/startheartbeatactivity.action
2,/rest/analytics/1.0/publish/bulk
3,/Attach/page-icon(11-13-13-23-05).png
4,/Attach/footer-desktop-l(11-13-13-23-05).png
5,/Attach/footer-mobile-lo(11-13-13-23-05).png
6,/Attach/avatar_80747d194(11-13-13-23-05).png
7,/Attach/footer-mobile-lo(11-13-13-57-49).png
8,/Attach/avatar_60f0e4909(11-13-13-57-49).jpg
9,/Attach/blogpost-icon(11-13-13-57-49).png
10,/Attach/footer-desktop-l(11-13-13-57-49).png
11,/rest/quickreload/latest/0
12,/rest/capabilities
13,/rest/quickreload/latest/9634218
14,/synchrony-proxy/v1/data/Synchrony-4da6be73-d29f-3daa-846d-41e274a915f4/confluence-9634218?state-at=@head&state-format=type-tagged&rewrite-request=true&cached=false
15,/rest/tinymce/1/content/9634218.json
16,/synchrony-proxy/v1/data/Synchrony-4da6be73-d29f-3daa-846d-41e274a915f4/confluence-9634218?optimistic=true&rewrite-request=true
17,/rest/jiraanywhere/1.0/servers
18,/rest/emoticons/1.0/
19,/rest/autoconvert/latest/shortcutlinkconfigurations
20,/rest/ui/1.0/content/9634218/labels
21,/rest/api/content/9634218
22,/rest/capabilities/navigation
23,/rest/mywork/latest/status/notification/count
24,/json/stopheartbeatactivity.action
25,/pages/viewpage.action
26,/download/attachments/65592/user-avatar
27,/attachmentnotfound.action
28,/rest/webResources/1.0/resources
29,/rest/helptips/1.0/tips
30,/rest/jira-metadata/1.0/metadata/aggregate
31,/plugins/pagetree/naturalchildren.action
32,/rest/likes/1.0/content/9634218/likes
33,/rest/highlighting/1.0/panel-items
34,/rest/menu/latest/appswitcher
35,/plugins/editor-loader/editor.action
36,/plugins/servlet/notifications-miniview
37,/rest/inlinecomments/1.0/comments
38,/rest/watch-button/1.0/watchState/9634218
39,/synchrony/heartbeat
40,/rest/calendar-services/1.0/tips
41,/synchrony-proxy/heartbeat
42,/synchrony-proxy/resources/js/vendor/sockjs.min.js
43,/synchrony-proxy/resources/js/synchrony.min.js
44,/synchrony-proxy/v1/data/Synchrony-4da6be73-d29f-3daa-846d-41e274a915f4/confluence-9634218?state-at=@head&state-format=type-tagged&rewrite-request=true&cached=true
45,/rest/ia/1.0/space/childPagesContextualNav
46,/s/zh_CN/7702/c32f84c806260a834c2e109e904a2d8ee4f8e175/1.0.4/_/download/resources/com.atlassian.confluence.plugins.confluence-icons:confluence-icon-resources/assets/icons/sidebar-open-pagetree.svg
47,/rest/create-dialog/1.0/spaces
48,/rest/prototype/1/session/check/tyq
49,"/s/0ffa400091bc2b868b11a016e4869f09-CDN/zh_CN/7702/c32f84c806260a834c2e109e904a2d8ee4f8e175/55f614f64af438e5a9ffa80092ed67e6/_/download/contextbatch/css/create-content,-_super,-atl.general,-viewcontent/batch.css"
50,"/s/d3b359ed12c406bec24ca8af030311c1-CDN/zh_CN/7702/c32f84c806260a834c2e109e904a2d8ee4f8e175/55f614f64af438e5a9ffa80092ed67e6/_/download/contextbatch/js/create-content,-_super,-atl.general,-viewcontent/batch.js"
51,/rest/create-dialog/1.0/blueprints/web-items
52,/s/zh_CN/7702/c32f84c806260a834c2e109e904a2d8ee4f8e175/1.14.0/_/download/resources/cz.morosystems.atlassian.plugin.easymind:blueprint-item/icon
53,/rest/create-dialog/1.0/spaces/adminCheck
54,/s/zh_CN/7702/c32f84c806260a834c2e109e904a2d8ee4f8e175/1.0.4/_/download/resources/com.atlassian.confluence.plugins.confluence-icons:confluence-icon-resources/assets/icons/confluence-icon-blank-page.svg
55,/s/zh_CN/7702/c32f84c806260a834c2e109e904a2d8ee4f8e175/1.0.4/_/download/resources/com.atlassian.confluence.plugins.confluence-icons:confluence-icon-resources/assets/icons/confluence-icon-meeting-notes.svg
56,/s/zh_CN/7702/c32f84c806260a834c2e109e904a2d8ee4f8e175/1.0.4/_/download/resources/com.atlassian.confluence.plugins.confluence-icons:confluence-icon-resources/assets/icons/confluence-icon-requirements.svg
57,/s/zh_CN/7702/c32f84c806260a834c2e109e904a2d8ee4f8e175/1.0.4/_/download/resources/com.atlassian.confluence.plugins.confluence-icons:confluence-icon-resources/assets/icons/confluence-icon-link.svg
58,/s/zh_CN/7702/c32f84c806260a834c2e109e904a2d8ee4f8e175/1.0.4/_/download/resources/com.atlassian.confluence.plugins.confluence-icons:confluence-icon-resources/assets/icons/confluence-icon-retrospective.svg
59,/s/zh_CN/7702/c32f84c806260a834c2e109e904a2d8ee4f8e175/1.0.4/_/download/resources/com.atlassian.confluence.plugins.confluence-icons:confluence-icon-resources/assets/icons/confluence-icon-how-to.svg
60,/s/zh_CN/7702/c32f84c806260a834c2e109e904a2d8ee4f8e175/1.0.4/_/download/resources/com.atlassian.confluence.plugins.confluence-icons:confluence-icon-resources/assets/icons/confluence-icon-troubleshoot.svg
61,/s/zh_CN/7702/c32f84c806260a834c2e109e904a2d8ee4f8e175/1.0.4/_/download/resources/com.atlassian.confluence.plugins.confluence-icons:confluence-icon-resources/assets/icons/confluence-icon-task-report.svg
62,/s/zh_CN/7702/c32f84c806260a834c2e109e904a2d8ee4f8e175/1.0.4/_/download/resources/com.atlassian.confluence.plugins.confluence-icons:confluence-icon-resources/assets/icons/confluence-icon-decision.svg
63,/s/zh_CN/7702/c32f84c806260a834c2e109e904a2d8ee4f8e175/6.0.17/_/download/resources/com.atlassian.confluence.extra.team-calendars:general-resources/calendar3/img/events.svg
